key,value,count,patch
building,yes,37,aachen_1.tif
building,house,17,aachen_1.tif
building,commercial,1,aachen_1.tif
highway,track,9,aachen_1.tif
highway,unclassified,2,aachen_1.tif
highway,path,1,aachen_1.tif
highway,residential,1,aachen_1.tif
highway,footway,1,aachen_1.tif
highway,service,1,aachen_1.tif
landuse,grass,10,aachen_1.tif
landuse,farmland,2,aachen_1.tif
landuse,meadow,1,aachen_1.tif
landuse,residential,1,aachen_1.tif
landuse,forest,1,aachen_1.tif
natural,tree,1,aachen_1.tif
natural,water,1,aachen_1.tif
natural,tree_row,1,aachen_1.tif
amenity,bench,1,aachen_1.tif
amenity,hunting_stand,1,aachen_1.tif
