key,count
building,114
source,111
highway,17
name,12
tiger:name_type,11
tiger:reviewed,11
tiger:cfcc,11
tiger:name_base,11
tiger:county,11
tiger:name_direction_prefix,5
tiger:name_direction_suffix,5
name_1,3
tiger:name_type_1,3
tiger:name_base_1,3
surface,2
lane_markings,2
cycleway:both,2
sidewalk,2
landuse,2
addr:country,2
addr:housenumber,2
addr:city,2
tiger:name_direction_suffix_1,2
addr:postcode,2
addr:state,2
building:levels,2
tiger:source,1
tiger:tlid,1
tiger:name_direction_prefix_1,1
tiger:separated,1
type,1
