key,count
building,34
source,24
landuse,18
addr:city,12
addr:country,12
addr:housenumber,12
addr:street,12
name,10
highway,9
surface,9
motor_vehicle,6
traffic_sign,5
lit,5
lane_markings,4
tracktype,4
name:etymology:wikidata,4
natural,3
maxspeed,2
foot,2
heritage,2
barrier,2
heritage:operator,2
waterway,1
boat,1
accociated_with,1
disused,1
vehicle,1
surface:material,1
surface:state,1
abandoned:military,1
leaf_type,1
historic,1
image,1
wikimedia_commons,1
wikipedia,1
smoothness,1
trail_visibility,1
type,1
