key,value,count,patch
building,yes,94,aachen_13.tif
building,garage,23,aachen_13.tif
building,office,2,aachen_13.tif
building,garages,2,aachen_13.tif
building,roof,1,aachen_13.tif
highway,service,18,aachen_13.tif
highway,motorway,7,aachen_13.tif
highway,residential,6,aachen_13.tif
highway,unclassified,6,aachen_13.tif
highway,bus_stop,3,aachen_13.tif
highway,footway,2,aachen_13.tif
highway,steps,1,aachen_13.tif
highway,path,1,aachen_13.tif
landuse,forest,7,aachen_13.tif
landuse,residential,3,aachen_13.tif
landuse,farmland,3,aachen_13.tif
landuse,industrial,2,aachen_13.tif
landuse,commercial,2,aachen_13.tif
landuse,meadow,2,aachen_13.tif
landuse,cemetery,1,aachen_13.tif
natural,scrub,3,aachen_13.tif
natural,water,1,aachen_13.tif
natural,wood,1,aachen_13.tif
waterway,stream,1,aachen_13.tif
railway,abandoned,1,aachen_13.tif
amenity,parking,4,aachen_13.tif
amenity,cafe,1,aachen_13.tif
barrier,gate,1,aachen_13.tif
barrier,fence,1,aachen_13.tif
man_made,bridge,2,aachen_13.tif
