key,value,count,patch
building,yes,26,aachen_10.tif
building,barn,1,aachen_10.tif
building,shed,1,aachen_10.tif
building,garages,1,aachen_10.tif
highway,track,6,aachen_10.tif
highway,tertiary,4,aachen_10.tif
highway,service,3,aachen_10.tif
highway,bus_stop,2,aachen_10.tif
highway,turning_circle,1,aachen_10.tif
highway,unclassified,1,aachen_10.tif
landuse,meadow,9,aachen_10.tif
landuse,residential,3,aachen_10.tif
landuse,farmland,2,aachen_10.tif
landuse,forest,2,aachen_10.tif
landuse,farmyard,1,aachen_10.tif
natural,water,3,aachen_10.tif
natural,scrub,1,aachen_10.tif
amenity,bench,1,aachen_10.tif
amenity,waste_basket,1,aachen_10.tif
barrier,gate,1,aachen_10.tif
barrier,fence,1,aachen_10.tif
man_made,mast,1,aachen_10.tif
man_made,pipeline,1,aachen_10.tif
