key,count
building,74
source,67
highway,30
name,20
tiger:name_base,14
tiger:county,14
tiger:cfcc,14
tiger:name_type,14
tiger:name_direction_suffix,12
lanes,8
building:levels,7
operator,5
tiger:reviewed,5
operator:type,4
oneway,4
landuse,4
amenity,3
access,3
type,2
addr:city,2
addr:housenumber,2
addr:postcode,2
tiger:name_direction_prefix,2
addr:state,2
phone,2
website,2
addr:street,2
capacity,2
crossing,1
government,1
note,1
office,1
service,1
addr:country,1
ele,1
fax,1
gnis:feature_id,1
operator:short,1
operator:wikidata,1
